16,128,2,with,43.4269089699
16,128,2,with,45.4746589661
16,128,2,with,41.345457077
16,128,2,with,37.0535299778
16,128,2,with,37.20799613
16,128,2,with,44.6659338474
16,128,2,with,40.816685915
16,128,2,with,37.046145916
16,128,2,with,35.485435009
16,128,2,with,44.6596701145
16,128,2,with,42.2509140968
16,128,2,with,38.8192279339
16,128,2,with,37.0445408821
16,128,2,with,46.2201659679
16,128,2,with,40.064759016
16,128,2,with,39.7686038017
16,128,2,with,35.5917949677
16,128,2,with,44.1496670246
16,128,2,with,39.8824529648
16,128,2,with,38.8177630901
16,128,2,with,36.0375561714
16,128,2,with,43.5391168594
16,128,2,with,41.7375228405
16,128,2,with,37.8095049858
16,128,2,with,35.7974441051
16,128,2,with,44.8914709091
16,128,2,with,40.3063240051
16,128,2,with,39.1530148983
16,128,2,with,37.1702430248
16,128,2,with,45.1789309978
16,128,2,with,42.0575060844
16,128,2,with,39.5609369278
16,128,2,with,36.9059100151
16,128,2,with,46.7426621914
16,128,2,with,40.9433422089
16,128,2,with,39.4738631248
16,128,2,with,38.1794550419
16,128,2,with,45.3430650234
16,128,2,with,39.009542942
16,128,2,with,41.5598678589
16,128,2,with,37.357642889
16,128,2,with,46.4065601826
16,128,2,with,40.4935050011
16,128,2,with,39.836938858
16,128,2,with,37.1829409599
16,128,2,with,46.4368910789
16,128,2,with,41.0740039349
16,128,2,with,39.6059179306
16,128,2,with,36.0229799747
16,128,2,with,46.8211832047
16,128,2,without,42.599832058
16,128,2,without,38.375636816
16,128,2,without,42.3149898052
16,128,2,without,39.9418239594
16,128,2,without,37.2664549351
16,128,2,without,36.73127985
16,128,2,without,42.4672038555
16,128,2,without,38.4406569004
16,128,2,without,37.4545810223
16,128,2,without,35.5155770779
16,128,2,without,42.4738790989
16,128,2,without,39.0025188923
16,128,2,without,38.4097831249
16,128,2,without,36.8752188683
16,128,2,without,43.0609469414
16,128,2,without,39.3139779568
16,128,2,without,38.2961449623
16,128,2,without,36.0788009167
16,128,2,without,42.9526081085
16,128,2,without,39.531842947
16,128,2,without,37.9094657898
16,128,2,without,36.5931282043
16,128,2,without,42.3425829411
16,128,2,without,38.5964820385
16,128,2,without,37.9974880219
16,128,2,without,36.2834730148
16,128,2,without,44.1406681538
16,128,2,without,39.5434579849
16,128,2,without,38.0243971348
16,128,2,without,36.1521577835
16,128,2,without,43.3389868736
16,128,2,without,39.8772211075
16,128,2,without,39.035777092
